,Time,Volume,Open,Close,High,Low
0,2022-01-02T22:00:00.000000000Z,578.0,1.26402,1.26406,1.26455,1.2638
1,2022-01-02T23:00:00.000000000Z,577.0,1.26412,1.26594,1.26598,1.26314
2,2022-01-03T00:00:00.000000000Z,449.0,1.26591,1.26538,1.26591,1.26482
3,2022-01-03T01:00:00.000000000Z,505.0,1.26534,1.26621,1.26646,1.26452
4,2022-01-03T02:00:00.000000000Z,564.0,1.26619,1.26734,1.26744,1.26614
5,2022-01-03T03:00:00.000000000Z,417.0,1.26732,1.26783,1.26858,1.26709
6,2022-01-03T04:00:00.000000000Z,248.0,1.2678,1.26766,1.26802,1.26698
7,2022-01-03T05:00:00.000000000Z,255.0,1.26763,1.26797,1.26822,1.26761
8,2022-01-03T06:00:00.000000000Z,551.0,1.26794,1.26781,1.26856,1.26754
9,2022-01-03T07:00:00.000000000Z,491.0,1.26778,1.26756,1.26859,1.2675
10,2022-01-03T08:00:00.000000000Z,849.0,1.26754,1.26725,1.2678,1.26669
11,2022-01-03T09:00:00.000000000Z,540.0,1.26722,1.268,1.2684,1.26706
12,2022-01-03T10:00:00.000000000Z,364.0,1.26803,1.26806,1.26811,1.26748
13,2022-01-03T11:00:00.000000000Z,421.0,1.26804,1.26829,1.26849,1.26788
14,2022-01-03T12:00:00.000000000Z,430.0,1.26826,1.26815,1.26858,1.26803
15,2022-01-03T13:00:00.000000000Z,1486.0,1.26818,1.27162,1.27197,1.26817
16,2022-01-03T14:00:00.000000000Z,2678.0,1.27164,1.27396,1.27486,1.2715
17,2022-01-03T15:00:00.000000000Z,2515.0,1.27393,1.27726,1.27792,1.2734
18,2022-01-03T16:00:00.000000000Z,1226.0,1.27724,1.27564,1.27735,1.27521
19,2022-01-03T17:00:00.000000000Z,810.0,1.27566,1.2755,1.27595,1.27502
20,2022-01-03T18:00:00.000000000Z,441.0,1.27552,1.27442,1.2756,1.27439
21,2022-01-03T19:00:00.000000000Z,549.0,1.27444,1.27474,1.27548,1.27444
22,2022-01-03T20:00:00.000000000Z,655.0,1.27472,1.27524,1.27586,1.2744
23,2022-01-03T21:00:00.000000000Z,341.0,1.27526,1.27464,1.27549,1.2745
24,2022-01-03T22:00:00.000000000Z,1376.0,1.27498,1.27498,1.27558,1.27462
25,2022-01-03T23:00:00.000000000Z,219.0,1.27492,1.2752,1.27522,1.2746
26,2022-01-04T00:00:00.000000000Z,494.0,1.27518,1.27461,1.27552,1.27438
